STATEFIP,YEAR,QUARTER,industry,emp_weighted,total_emp,emp_share
25,2015,4,Transportation and warehousing,420356.5707,10100201.9889,0.041618630118681464
25,2015,4,Utilities,119404.1807,10100201.9889,0.011821959682709687
25,2015,4,Wholesale trade,185047.133,10100201.9889,0.018321131914328503
25,2016,1,Construction,513938.8604,10091490.5474,0.05092794349714896
25,2016,1,Education and health services,2746097.5755,10091490.5474,0.2721201157154641
25,2016,1,Financial activities,778029.5493,10091490.5474,0.0770975849053789
25,2016,1,Government,385770.4845,10091490.5474,0.03822730474631332
25,2016,1,Information,78002.2795,10091490.5474,0.007729510237721695
25,2016,1,Leisure and hospitality,159275.7471,10091490.5474,0.015783173590846425
25,2016,1,Manufacturing - Durable goods,662352.852,10091490.5474,0.06563478892329246
25,2016,1,Manufacturing - Nondurable goods,441061.9431,10091490.5474,0.04370632277048869
25,2016,1,Other services,256728.8202,10091490.5474,0.02544012888820912
25,2016,1,Professional and business services,1948847.613,10091490.5474,0.19311791492507582
25,2016,1,Retail trade,1436993.7362,10091490.5474,0.14239657951919016
25,2016,1,Transportation and warehousing,337959.6607,10091490.5474,0.03348956817752487
25,2016,1,Utilities,129016.3211,10091490.5474,0.012784664514524084
25,2016,1,Wholesale trade,217415.1048,10091490.5474,0.021544399588821442
25,2016,2,Construction,646271.6808,10419769.1662,0.062023608248098036
25,2016,2,Education and health services,2848984.248,10419769.1662,0.27342105209409356
25,2016,2,Financial activities,804416.3209,10419769.1662,0.07720097327197928
25,2016,2,Government,421710.8044,10419769.1662,0.04047218298923164
25,2016,2,Information,92814.5182,10419769.1662,0.008907540725669325
25,2016,2,Leisure and hospitality,186899.7636,10419769.1662,0.017937034939917072
25,2016,2,Manufacturing - Durable goods,628714.0496,10419769.1662,0.060338577522373905
25,2016,2,Manufacturing - Nondurable goods,324051.6874,10419769.1662,0.03109969925736645
25,2016,2,Mining and logging,2124.4177,10419769.1662,0.0002038833745848476
25,2016,2,Other services,338763.0178,10419769.1662,0.03251156646530049
25,2016,2,Professional and business services,1888298.6514,10419769.1662,0.18122269517498785
25,2016,2,Retail trade,1566204.1174,10419769.1662,0.15031082670050944
25,2016,2,Transportation and warehousing,350133.1796,10419769.1662,0.0336027769920061
25,2016,2,Utilities,66161.9631,10419769.1662,0.006349657275961392
25,2016,2,Wholesale trade,254220.7463,10419769.1662,0.02439792496792058
25,2016,3,Construction,766766.5722,10403660.377,0.0737016150484052
25,2016,3,Education and health services,2559625.4764,10403660.377,0.2460312412791481
25,2016,3,Financial activities,824599.7294,10403660.377,0.07926053903326105
25,2016,3,Government,441532.3381,10403660.377,0.04244009532223122
25,2016,3,Information,112175.129,10403660.377,0.010782275173840962
25,2016,3,Leisure and hospitality,189039.9867,10403660.377,0.018170526511795994
25,2016,3,Manufacturing - Durable goods,556035.1821,10403660.377,0.053446110498691454
25,2016,3,Manufacturing - Nondurable goods,306882.4206,10403660.377,0.02949754312226911
25,2016,3,Mining and logging,10106.2618,10403660.377,0.0009714140440745762
25,2016,3,Other services,402803.9941,10403660.377,0.038717526284354986
25,2016,3,Professional and business services,1932936.8564,10403660.377,0.18579392121192845
25,2016,3,Retail trade,1717944.4964,10403660.377,0.16512885216802767
25,2016,3,Transportation and warehousing,294070.8238,10403660.377,0.028266092235202152
