OCC2010,abstract,routine,manual,rti
1600,4.19,2.373333333333333,2.6083333333333334,-1.530270142810025
1610,4.264285714285714,2.4935714285714283,2.62,-1.4924851889264077
1640,3.8791666666666655,2.0975,2.9825,-1.704681337571036
1650,4.288333333333334,2.5075,2.3175,-1.3574431451785096
1660,4.1570833333333335,2.37375,2.670625,-1.5357386494722556
1700,4.221666666666667,1.69,1.5925,-1.384678050276671
1710,4.266666666666667,2.05,1.7000000000000002,-1.2636213401693157
1720,3.945,2.3625,2.1,-1.2660270183830744
1740,4.133333333333334,1.903333333333333,2.0308333333333333,-1.4693022659826136
1760,4.32,2.5,2.565,-1.4889231490045969
1800,4.404999999999999,1.62,1.4325,-1.3530315825714587
1815,4.316666666666666,2.0,1.695,-1.2970190597499052
1820,4.062666666666667,1.805,1.842,-1.4004431072457089
1830,4.596666666666667,1.605,1.5499999999999998,-1.4904625774862768
1840,4.266666666666667,1.3199999999999998,1.48,-1.565243233435206
1860,4.200666666666667,1.759,1.677,-1.369302806317461
1900,3.291111111111111,3.248333333333333,3.4800000000000004,-1.2526339494215193
1910,3.64,2.64,2.6950000000000003,-1.3126029688513852
1920,3.306666666666666,3.285,3.23,-1.1790561179266628
1930,3.268333333333333,2.5925,2.9375,-1.3121949139266786
1940,3.3233333333333333,2.83,3.0125,-1.261608282913262
1950,3.876666666666667,2.58,1.4449999999999998,-0.7752956004933328
1965,3.4655555555555555,2.7883333333333336,2.915,-1.29188910327999
2000,3.6986666666666665,2.0780000000000003,1.7770000000000004,-1.1500453571356275
2010,3.598888888888889,1.9833333333333332,1.9933333333333332,-1.2830645123743472
2015,3.3966666666666665,2.68,2.8600000000000003,-1.2877993888755197
2016,3.29,2.435,2.015,-1.0015600036413734
2040,3.1266666666666665,1.935,1.6,-0.9498637771140142
2050,3.543333333333333,1.285,1.835,-1.621353666845097
2060,3.335,1.61,1.7175,-1.2856087219795556
2100,4.006666666666667,1.955,1.525,-1.1395638570609976
2105,3.87,2.25,1.815,-1.1384097585421755
2110,3.7066666666666666,2.1166666666666667,1.8166666666666664,-1.1570377786794457
2145,3.26,2.485,2.135,-1.0299211825106125
2160,3.513333333333333,2.75,2.14,-1.0057701718003869
2200,4.210144927536232,1.7982608695652176,1.86695652173913,-1.4684901767119636
2300,3.148333333333333,1.685,2.06,-1.3424566315243325
2310,3.8077777777777775,1.9833333333333332,1.9433333333333331,-1.3163830043036613
2320,3.893333333333333,2.0425,2.325,-1.4892469037030909
2330,3.588666666666667,1.764,1.9330000000000005,-1.3593513068829464
2340,3.418333333333333,1.9025,2.08375,-1.3006832834867794
2400,3.6466666666666665,2.168333333333333,2.5283333333333333,-1.4446943946501258
2430,3.6966666666666663,2.0,2.105,-1.3585997992685654
2440,2.8266666666666667,2.7750000000000004,2.295,-0.8491802574498125
2540,3.3611111111111107,1.7716666666666665,1.961666666666667,-1.3111141929181234
2600,3.5125,2.3,2.87375,-1.480915800057869
2630,3.4323809523809525,2.192142857142857,2.6207142857142856,-1.416782653651261
2700,2.83,1.905,1.685,-0.9175602668808072
2710,3.5233333333333334,2.48375,2.41125,-1.2297416307433027
2720,3.2277777777777774,2.14,2.381666666666667,-1.2237238787097322
2740,2.8550000000000004,2.37,1.7375,-0.7363606694918754
2750,3.2916666666666665,2.4275,2.56,-1.24352605513602
2760,3.241666666666666,2.32125,2.255833333333334,-1.1222893229365838
2800,3.7466666666666666,3.03,2.345,-1.0645893381743998
2810,3.9766666666666666,2.37,2.4,-1.393022729648575
2825,3.983333333333333,1.725,1.5699999999999998,-1.2879675585863035
2830,3.713333333333333,2.55,2.245,-1.1845421078549112
2840,3.863333333333333,2.875,2.5,-1.211768426308392
2850,3.3316666666666666,2.2525,2.065,-1.1113487780922653
2860,2.876666666666667,2.9325,2.38,-0.7367469916505404
2900,3.538888888888889,2.7716666666666665,3.2133333333333334,-1.417805915601989
2910,3.4233333333333333,2.25,2.98,-1.5116078195733411
2920,3.618333333333333,2.38,2.7875,-1.4371953889775917
2960,3.546111111111112,2.5541666666666667,3.0325,-1.4399027240557487
3000,3.583333333333333,2.695,2.92,-1.3564788778247925
3010,3.751666666666667,2.72625,3.1925,-1.4773632905537335
3030,3.8,1.8,1.39,-1.0765181489728215
3040,4.086666666666667,2.6500000000000004,2.89,-1.4944265039661655
3050,3.306666666666666,3.01,2.29,-0.9225523714340356
