onet_soc,abstract,routine,manual,rti
15-1243.00,4.013333333333333,2.4050000000000002,1.855,-1.129956943714239
15-1243.01,4.093333333333333,2.1950000000000003,1.63,-1.1117576023424227
15-1244.00,3.6,2.31,1.97,-1.1217198636782593
15-1251.00,4.126666666666666,2.1399999999999997,2.22,-1.4541713454387684
15-1252.00,4.046666666666667,2.2800000000000002,2.14,-1.3345238830306534
15-1253.00,3.81,2.6350000000000002,1.915,-1.0184636297778933
15-1254.00,3.75,2.605,2.21,-1.1573156803066507
15-1255.01,3.936666666666667,2.25,2.425,-1.445235649714279
15-1299.01,3.9800000000000004,2.45,2.225,-1.2849507103579145
15-1299.02,4.173333333333333,2.7800000000000002,2.685,-1.393944877262125
15-1299.03,3.5533333333333332,2.63,2.025,-1.006471984438418
15-1299.05,3.9466666666666668,2.25,1.79,-1.1441567444240848
15-1299.08,3.6166666666666667,2.625,2.4050000000000002,-1.1980217988324964
15-1299.09,4.08,2.69,1.8,-1.0043424597044417
15-2011.00,4.086666666666667,2.165,1.4300000000000002,-0.9929837246573185
15-2021.00,4.3999999999999995,1.7000000000000002,1.375,-1.2694300209805793
15-2031.00,4.336666666666667,1.715,1.56,-1.3723787444998465
15-2041.00,4.55,1.95,1.695,-1.3749806012196173
15-2041.01,4.126666666666666,2.02,1.7149999999999999,-1.2537855477931301
15-2051.01,4.3500000000000005,1.955,1.6150000000000002,-1.2791206083378839
15-2051.02,3.6,2.4749999999999996,1.86,-0.9952699371665208
15-2099.01,4.31,2.12,1.6749999999999998,-1.2253349807087648
17-1011.00,4.013333333333334,2.13,2.2800000000000002,-1.457675614457581
17-1012.00,3.65,1.7,2.25,-1.5750291327485586
17-1021.00,3.8166666666666664,2.255,3.065,-1.6462750377656719
17-1022.00,3.876666666666667,2.775,3.625,-1.6221792189707038
17-1022.01,3.86,2.435,3.06,-1.5791353429064756
17-2011.00,4.283333333333333,1.825,1.94,-1.515839508713901
17-2021.00,4.2299999999999995,2.4,2.6,-1.522244700731723
17-2031.00,4.216666666666667,2.085,2.37,-1.5671660264016944
17-2041.00,3.8833333333333333,1.8900000000000001,1.7799999999999998,-1.2967304265760426
17-2051.00,3.5866666666666664,2.165,1.855,-1.1226876006704738
17-2051.01,3.86,2.065,2.25,-1.436467173280072
17-2051.02,3.84,1.8450000000000002,1.87,-1.3589315199736403
17-2061.00,4.156666666666667,2.215,1.98,-1.3125579122331805
17-2071.00,4.06,3.0549999999999997,2.625,-1.2494842770336696
17-2072.00,3.9433333333333334,1.96,2.145,-1.4622214684597403
17-2072.01,3.84,2.375,2.235,-1.284716157178563
17-2081.00,3.9499999999999997,2.11,2.2,-1.4154849917893255
17-2111.00,3.8366666666666664,2.27,2.51,-1.4451068557160625
17-2111.02,3.83,1.755,1.885,-1.4143237671746998
17-2112.00,3.78,2.455,2.345,-1.283882650283255
17-2112.01,3.983333333333333,2.0250000000000004,2.1799999999999997,-1.4558741659519048
17-2112.02,3.8033333333333332,2.65,1.79,-0.9435338550604075
17-2112.03,3.8666666666666667,2.365,2.25,-1.3025450037166415
17-2121.00,3.7466666666666666,2.525,2.8899999999999997,-1.4558819951944528
17-2131.00,4.126666666666666,2.025,2.165,-1.484320639484291
17-2141.00,4.026666666666666,2.3899999999999997,2.0549999999999997,-1.2419213858433378
17-2141.01,4.04,2.0,2.31,-1.5403450359468156
17-2141.02,4.0,2.17,2.83,-1.6518439052226688
17-2151.00,3.973333333333333,2.58,2.165,-1.204236335490021
17-2161.00,4.046666666666667,2.23,1.955,-1.2662821049285444
17-2171.00,4.1433333333333335,2.2,1.815,-1.2291287242070539
17-2199.03,4.256666666666667,2.0,1.84,-1.3651047724372871
17-2199.05,3.6233333333333335,2.54,2.115,-1.1042851439328047
17-2199.06,3.7433333333333336,2.17,2.295,-1.3759821560423826
17-2199.07,4.023333333333333,1.9700000000000002,2.065,-1.4392074301044293
17-2199.08,4.116666666666666,2.565,2.56,-1.4130925542746147
17-2199.09,4.223333333333334,2.325,2.575,-1.542754200741318
17-2199.10,3.703333333333333,1.925,1.935,-1.3144146737254268
17-2199.11,3.4166666666666665,1.875,2.645,-1.5727278228041959
17-3011.00,3.436666666666667,2.435,2.42,-1.2283227929948008
17-3012.00,3.2433333333333336,2.51,2.11,-1.0030068018740868
17-3013.00,3.483333333333333,2.435,2.52,-1.2823018347314892
17-3021.00,3.3966666666666665,2.505,3.205,-1.469217914402329
17-3022.00,3.5533333333333332,2.25,2.7,-1.4502076868635434
17-3023.00,3.52,2.44,2.91,-1.4346160314882965
17-3024.00,3.3533333333333335,2.925,3.5,-1.3894233638150317
17-3024.01,3.5700000000000003,2.635,3.34,-1.5096532207868312
17-3025.00,3.1466666666666665,2.58,2.9749999999999996,-1.2887983315533664
17-3026.00,3.486666666666667,2.775,2.915,-1.298165242572725
17-3026.01,3.9133333333333336,2.7750000000000004,2.8,-1.373358195714601
17-3027.00,3.766666666666667,2.95,3.185,-1.4028375557225836
17-3027.01,3.5233333333333334,2.795,3.835,-1.5757448394261937
17-3029.01,3.766666666666667,3.2750000000000004,3.645,-1.4332289334235915
17-3029.08,3.2100000000000004,2.98,3.205,-1.239059726997245
17-3031.00,3.266666666666667,2.825,3.105,-1.2782754477954543
19-1011.00,4.3500000000000005,2.195,2.45,-1.580081823130094
19-1012.00,4.026666666666666,2.71,2.615,-1.357254366463836
19-1013.00,4.193333333333333,2.215,2.76,-1.6534742388361443
19-1021.00,4.733333333333333,2.8499999999999996,2.8,-1.5369300988397046
19-1022.00,4.010000000000001,2.865,2.84,-1.3800269433248897
19-1023.00,3.8666666666666667,2.51,3.355,-1.6425618267241617
19-1029.01,4.553333333333334,2.0300000000000002,2.0300000000000002,-1.5158595654745344
19-1029.02,4.196666666666666,2.56,2.5,-1.41057403277083
19-1029.03,4.226666666666667,2.185,2.2,-1.448255192157687
19-1029.04,4.263333333333333,2.455,2.615,-1.513188663193044
19-1031.00,4.006666666666667,2.1950000000000003,2.955,-1.6852762447698786
19-1031.02,3.9133333333333336,2.0949999999999998,3.38,-1.8427116818526672
19-1031.03,3.9133333333333327,1.975,2.73,-1.6881227365756237
19-1032.00,3.6833333333333336,2.125,2.865,-1.602614687085975
19-1041.00,4.546666666666667,1.8849999999999998,1.605,-1.3535902994292115
19-1042.00,4.03,3.13,3.0300000000000002,-1.3612959909278077
19-2011.00,4.273333333333333,1.8449999999999998,1.63,-1.3284949001505948
19-2012.00,4.17,1.535,1.5550000000000002,-1.4408612004027472
19-2021.00,4.266666666666667,2.05,1.7000000000000002,-1.2636213401693155
19-2031.00,3.763333333333333,2.8,2.31,-1.1329331968460048
19-2032.00,4.126666666666666,1.9249999999999998,1.8900000000000001,-1.399120839920144
19-2041.00,3.8000000000000003,2.035,2.025,-1.3300749483962844
19-2041.01,4.1,1.6099999999999999,1.38,-1.2568362938830038
19-2041.02,4.06,1.6600000000000001,2.225,-1.6941222868633927
19-2041.03,4.203333333333333,1.835,1.6949999999999998,-1.3565161206345984
19-2042.00,4.32,2.125,2.5300000000000002,-1.6377029026190677
19-2043.00,4.316666666666666,2.1550000000000002,2.33,-1.540561043499335
19-2099.01,4.32,2.5,2.565,-1.4889231490045967
19-3011.00,4.5,1.625,1.27,-1.2575864814650732
19-3011.01,4.31,1.615,1.595,-1.4484766836778442
19-3022.00,4.316666666666666,2.0,1.695,-1.2970190597499052
19-3032.00,4.286666666666666,1.77,1.325,-1.1659423429938114
19-3033.00,3.973333333333333,1.42,1.475,-1.417606491147708
19-3034.00,3.573333333333333,1.7149999999999999,1.685,-1.255851350160968
19-3039.02,4.176666666666667,2.02,2.31,-1.563663493360456
19-3039.03,4.303333333333334,2.1,2.415,-1.5991518585656004
19-3041.00,4.596666666666667,1.605,1.5499999999999998,-1.4904625774862768
19-3051.00,4.266666666666667,1.3199999999999998,1.48,-1.565243233435206
19-3091.00,4.366666666666667,1.895,1.9500000000000002,-1.5026104755802623
19-3092.00,4.260000000000001,1.875,1.815,-1.4167459685757193
19-3093.00,3.52,1.9300000000000002,2.0,-1.2940881672531566
19-3094.00,4.523333333333333,1.62,1.17,-1.18382678474404
19-3099.01,4.333333333333333,1.475,1.45,-1.4492426354341268
19-4012.00,3.0,3.0,4.29,-1.4562867329399256
19-4012.01,3.8533333333333335,2.715,3.325,-1.5516162952980406
19-4013.00,3.02,4.03,2.825,-0.749998820026591
19-4021.00,3.64,2.64,2.6950000000000003,-1.3126029688513852
19-4031.00,3.3066666666666666,3.285,3.23,-1.1790561179266628
19-4042.00,3.296666666666667,2.39,2.965,-1.4084955234727805
19-4043.00,3.24,2.795,2.91,-1.215894304380577
