YEAR,MONTH,mean_abstract,mean_routine,mean_manual,mean_rti,total_employed,n_obs,share_NRC,share_RC,share_NRM,share_RM,share_routine,date,recession
2000,5,3.2354427893158793,2.592414804627553,2.8193228625149844,-1.2203317782254401,136645809.7468,60157.0,0.3512672527378693,0.25674584108073306,0.14525441090713587,0.24673249527426175,0.5034783363549948,2000-05-01,
2000,6,3.2322205934360717,2.597956155195967,2.8320170000907527,-1.2212900222649927,137843743.2862,60501.0,0.34848034850130943,0.2524113772052742,0.147063916832339,0.25204435746107756,0.5044557346663517,2000-06-01,
2000,7,3.2330285976980058,2.5992756506644428,2.834486280529538,-1.2217551229554915,137887546.5878,60455.0,0.34456665927946617,0.2557604752597743,0.1465907911395706,0.25308207432118895,0.5088425495809633,2000-07-01,0.0
2000,8,3.234167801898329,2.5984692193463523,2.837655859582049,-1.2232025652968794,137735221.3232,60250.0,0.3450124459762691,0.2558219627158281,0.14450704090564698,0.25465855040225593,0.5104805131180841,2000-08-01,
2000,9,3.2377489514929603,2.5930584694706305,2.827691421439009,-1.2226728683669532,137269607.9297,59675.0,0.35192090702000145,0.2537034937364676,0.14369788968583608,0.250677709557695,0.5043812032941625,2000-09-01,
2000,10,3.235421822242507,2.593794298329752,2.8263209688001694,-1.2214570334931485,138049030.5341,60088.0,0.3501929474626656,0.2557281031124639,0.14404808432963215,0.25003086509523836,0.5057589682077023,2000-10-01,0.0
2000,11,3.2368958542011343,2.593561158984376,2.8181793114834717,-1.2193350544728958,137857499.2224,59573.0,0.35157724153844705,0.2571184712869109,0.14528889769056197,0.24601538948408005,0.5031338607709909,2000-11-01,
2000,12,3.238068218703962,2.591910504845661,2.815825042501145,-1.2196553967851418,138076425.2274,59365.0,0.3517544036384998,0.25981723146596214,0.1437267885652205,0.24470157633031747,0.5045188077962797,2000-12-01,
2001,1,3.241800090372878,2.591859666237708,2.8078725029070815,-1.218304297788332,136505136.283,58406.0,0.3565630881228722,0.2596282834070448,0.14150756892585611,0.24230105954422698,0.5019293429512718,2001-01-01,1.0
2001,2,3.242728603834923,2.5872460669742776,2.8048383560834083,-1.2192590986298888,137120996.126,57917.0,0.3584556463004002,0.25768977813675664,0.14407337590843314,0.2397811996544101,0.4974709777911667,2001-02-01,
2001,3,3.2430498781802157,2.5869621976062995,2.8087313361297825,-1.2206092677085305,137408381.8228,56882.0,0.36027394417787806,0.25434722922630965,0.14449370839549136,0.24088511820032085,0.4952323474266306,2001-03-01,
