STATEFIP,YEAR,industry,emp_weighted,n_obs,total_emp,emp_share
10,2020,Retail trade,941037.1148,1007,5118991.9503,0.1838325052933225
10,2020,Transportation and warehousing,252144.4646,261,5118991.9503,0.04925666362597484
10,2020,Utilities,65158.904,76,5118991.9503,0.012728854554299769
10,2020,Wholesale trade,83188.1054,97,5118991.9503,0.016250876384973557
10,2021,Construction,478565.1084,548,5342499.7292,0.08957700190125449
10,2021,Education and health services,1175453.9478,1396,5342499.7292,0.22001946792349497
10,2021,Financial activities,482701.916,571,5342499.7292,0.09035132250203803
10,2021,Government,339560.9259,415,5342499.7292,0.06355843577194654
10,2021,Information,18289.5505,22,5342499.7292,0.003423406911943583
10,2021,Leisure and hospitality,135203.7718,161,5342499.7292,0.02530721172731735
10,2021,Manufacturing - Durable goods,157448.5116,192,5342499.7292,0.0294709442359816
10,2021,Manufacturing - Nondurable goods,278965.4719,331,5342499.7292,0.052216281898019495
10,2021,Mining and logging,2080.5706999999998,2,5342499.7292,0.00038943768001117895
10,2021,Other services,118019.2841,143,5342499.7292,0.022090648588141814
10,2021,Professional and business services,725324.3154,836,5342499.7292,0.1357649699887981
10,2021,Retail trade,962799.0913,1127,5342499.7292,0.18021509407622788
10,2021,Transportation and warehousing,304944.5014,346,5342499.7292,0.05707899239251121
10,2021,Utilities,72352.972,92,5342499.7292,0.01354290606783696
10,2021,Wholesale trade,90789.7904,114,5342499.7292,0.01699387833447679
10,2022,Construction,454504.1939,497,5440192.9598,0.08354560164658371
10,2022,Education and health services,1185455.0695,1326,5440192.9598,0.2179068055599964
10,2022,Financial activities,494313.1276,541,5440192.9598,0.09086316078357864
10,2022,Government,323738.8314,360,5440192.9598,0.05950870378904754
10,2022,Information,38898.4783,44,5440192.9598,0.0071502019482467104
10,2022,Leisure and hospitality,122162.6346,137,5440192.9598,0.022455570142955208
10,2022,Manufacturing - Durable goods,154276.7966,182,5440192.9598,0.0283586993586477
10,2022,Manufacturing - Nondurable goods,260794.6438,283,5440192.9598,0.04793849147027088
10,2022,Mining and logging,1512.5384,2,5440192.9598,0.00027803028517128293
10,2022,Other services,125909.7752,145,5440192.9598,0.023144358321552785
10,2022,Professional and business services,839420.4501,909,5440192.9598,0.15429975670033216
10,2022,Retail trade,928677.8809,991,5440192.9598,0.17070679068967093
10,2022,Transportation and warehousing,329777.8104,363,5440192.9598,0.06061877084818031
10,2022,Utilities,86884.0133,90,5440192.9598,0.015970759482618453
10,2022,Wholesale trade,93866.7158,97,5440192.9598,0.017254298973147245
10,2023,Construction,405732.4523,420,5674237.4846,0.07150431285281351
10,2023,Education and health services,1372312.0391,1490,5674237.4846,0.24184959526711453
10,2023,Financial activities,473249.7814,525,5674237.4846,0.08340323835306679
10,2023,Government,357125.8058,375,5674237.4846,0.0629381140231171
10,2023,Information,67028.2709,77,5674237.4846,0.011812736263139521
10,2023,Leisure and hospitality,105032.8219,122,5674237.4846,0.018510473378151916
10,2023,Manufacturing - Durable goods,163697.9339,173,5674237.4846,0.028849327216966092
10,2023,Manufacturing - Nondurable goods,258195.6534,282,5674237.4846,0.045503145418348885
10,2023,Other services,142799.2664,162,5674237.4846,0.02516624776237516
10,2023,Professional and business services,779438.2351,860,5674237.4846,0.13736440133417252
10,2023,Retail trade,1050033.3549,1085,5674237.4846,0.18505276836752296
10,2023,Transportation and warehousing,349740.0375,368,5674237.4846,0.06163648216155947
10,2023,Utilities,76470.3366,79,5674237.4846,0.013476759971281092
10,2023,Wholesale trade,73381.4954,82,5674237.4846,0.01293239763037041
10,2024,Construction,399872.789,416,5687302.0093,0.07030975115197317
10,2024,Education and health services,1346169.8205,1421,5687302.0093,0.23669743901391446
10,2024,Financial activities,412880.1198,468,5687302.0093,0.0725968339864578
10,2024,Government,363750.0415,387,5687302.0093,0.06395827773963612
10,2024,Information,36506.7918,41,5687302.0093,0.006419000035571049
10,2024,Leisure and hospitality,104038.9712,109,5687302.0093,0.018293203179622467
10,2024,Manufacturing - Durable goods,213262.0786,231,5687302.0093,0.03749793456568144
10,2024,Manufacturing - Nondurable goods,254438.358,265,5687302.0093,0.044737971991629225
10,2024,Mining and logging,11069.635,11,5687302.0093,0.0019463772069601179
10,2024,Other services,136907.5904,149,5687302.0093,0.02407250224730913
10,2024,Professional and business services,839660.1501,893,5687302.0093,0.14763769336092394
10,2024,Retail trade,1088932.3315,1116,5687302.0093,0.19146729498791418
10,2024,Transportation and warehousing,303214.726,304,5687302.0093,0.053314335251438506
10,2024,Utilities,92672.83870000001,97,5687302.0093,0.016294692729251825
10,2024,Wholesale trade,83925.7672,89,5687302.0093,0.014756692551716572
10,2025,Construction,383822.1529,410,5328080.2156,0.07203760780031301
10,2025,Education and health services,1299216.4066,1349,5328080.2156,0.24384325198334017
10,2025,Financial activities,463990.506,501,5328080.2156,0.08708399408880702
10,2025,Government,341062.5639,349,5328080.2156,0.06401228023958958
10,2025,Information,25392.2407,22,5328080.2156,0.004765739191698816
10,2025,Leisure and hospitality,101982.6458,118,5328080.2156,0.019140598803562805
10,2025,Manufacturing - Durable goods,196413.5078,200,5328080.2156,0.036863842106754335
10,2025,Manufacturing - Nondurable goods,189469.5511,207,5328080.2156,0.03556056655176759
10,2025,Mining and logging,3530.9195,3,5328080.2156,0.0006627001390973578
10,2025,Other services,130048.2288,135,5328080.2156,0.024408083875920993
10,2025,Professional and business services,772875.9055,803,5328080.2156,0.14505710766836977
10,2025,Retail trade,1024638.5211,1025,5328080.2156,0.19230913943449604
10,2025,Transportation and warehousing,252761.9646,257,5328080.2156,0.047439594445283
10,2025,Utilities,77841.7979,77,5328080.2156,0.014609727096842173
10,2025,Wholesale trade,65033.3034,73,5328080.2156,0.012205766574157432
10,2026,Construction,64529.3086,63,925644.2544,0.06971286030595816
10,2026,Education and health services,250887.4817,232,925644.2544,0.2710409323100315
10,2026,Financial activities,104200.6096,95,925644.2544,0.11257090302747305
10,2026,Government,49198.661,47,925644.2544,0.053150722608752574
10,2026,Information,7820.3128,6,925644.2544,0.008448507904442301
10,2026,Leisure and hospitality,18662.3936,19,925644.2544,0.02016151832768293
10,2026,Manufacturing - Durable goods,29714.7065,31,925644.2544,0.03210164850994618
10,2026,Manufacturing - Nondurable goods,32369.1412,30,925644.2544,0.0349693103437255
10,2026,Other services,16008.4661,16,925644.2544,0.017294404436590645
10,2026,Professional and business services,151369.8749,150,925644.2544,0.1635292113362898
10,2026,Retail trade,148000.0238,136,925644.2544,0.15988866467488982
10,2026,Transportation and warehousing,38606.1084,35,925644.2544,0.0417072846468694
10,2026,Utilities,3971.9159,4,925644.2544,0.0042909745089646616
10,2026,Wholesale trade,10305.2503,12,925644.2544,0.011133057058383444
11,1976,Construction,104153.21,56,3536065.86,0.02945454471823667
11,1976,Education and health services,759204.51,428,3536065.86,0.2147031588376581
11,1976,Financial activities,258761.32,144,3536065.86,0.07317774335798147
11,1976,Government,919523.32,506,3536065.86,0.2600413443656844
11,1976,Information,46493.13,23,3536065.86,0.013148264721517375
11,1976,Leisure and hospitality,48332.9,26,3536065.86,0.01366855197657433
11,1976,Manufacturing - Durable goods,30298.780000000002,16,3536065.86,0.008568499909105201
11,1976,Manufacturing - Nondurable goods,118700.33,68,3536065.86,0.03356847261888952
11,1976,Other services,257323.1,146,3536065.86,0.07277101450819698
11,1976,Professional and business services,451129.14,247,3536065.86,0.1275793941236151
11,1976,Retail trade,317127.6,175,3536065.86,0.08968373682949446
11,1976,Transportation and warehousing,178289.09,96,3536065.86,0.05042018363311819
11,1976,Utilities,32183.57,18,3536065.86,0.00910151882748021
11,1976,Wholesale trade,14545.86,8,3536065.86,0.004113571572448032
11,1977,Construction,106646.08,88,3380770.64,0.03154490243680062
11,1977,Education and health services,720334.78,615,3380770.64,0.2130682192625762
11,1977,Financial activities,236778.04,204,3380770.64,0.07003670618720234
11,1977,Government,838118.86,710,3380770.64,0.24790763682211817
11,1977,Information,49968.909999999996,44,3380770.64,0.014780331267902869
11,1977,Leisure and hospitality,42036.95,34,3380770.64,0.012434132473417361
11,1977,Manufacturing - Durable goods,15858.7,16,3380770.64,0.00469085356231087
11,1977,Manufacturing - Nondurable goods,113544.59,99,3380770.64,0.033585416489537424
11,1977,Other services,232564.04,208,3380770.64,0.06879024481826428
11,1977,Professional and business services,497843.88,435,3380770.64,0.14725751404419438
11,1977,Retail trade,310404.23,287,3380770.64,0.09181463726861991
11,1977,Transportation and warehousing,158064.28,134,3380770.64,0.04675391998789956
11,1977,Utilities,29688.36,23,3380770.64,0.008781536271268613
11,1977,Wholesale trade,28918.940000000002,25,3380770.64,0.008553949107887426
11,1978,Construction,131704.17,158,3698656.0900000003,0.03560865535892525
11,1978,Education and health services,765172.03,812,3698656.0900000003,0.20687839349778528
11,1978,Financial activities,269738.26,286,3698656.0900000003,0.07292872152382245
11,1978,Government,837840.86,924,3698656.0900000003,0.22652575411519266
11,1978,Information,67616.54,73,3698656.0900000003,0.018281380683868878
11,1978,Leisure and hospitality,36247.61,40,3698656.0900000003,0.009800210973386281
11,1978,Manufacturing - Durable goods,18555.04,20,3698656.0900000003,0.005016697835239934
11,1978,Manufacturing - Nondurable goods,154351.94,173,3698656.0900000003,0.04173189835554567
11,1978,Other services,270962.46,298,3698656.0900000003,0.07325970660873203
11,1978,Professional and business services,495922.63,537,3698656.0900000003,0.13408184430577863
11,1978,Retail trade,404596.64,431,3698656.0900000003,0.10939017582464662
11,1978,Transportation and warehousing,171723.05,180,3698656.0900000003,0.04642849884429238
11,1978,Utilities,28766.37,30,3698656.0900000003,0.007777519536832633
11,1978,Wholesale trade,45458.49,48,3698656.0900000003,0.012290542535951212
11,1979,Construction,129338.95,143,3646099.8,0.03547323361801561
11,1979,Education and health services,740756.17,843,3646099.8,0.20316398635056562
11,1979,Financial activities,253386.05,266,3646099.8,0.06949509445682206
11,1979,Government,797328.56,916,3646099.8,0.21867985072707008
11,1979,Information,51208.01,60,3646099.8,0.014044599108340371
11,1979,Leisure and hospitality,32900.73,37,3646099.8,0.009023540716027578
11,1979,Manufacturing - Durable goods,42534.63,42,3646099.8,0.011665788742260976
11,1979,Manufacturing - Nondurable goods,160514.76,178,3646099.8,0.0440236879966917
11,1979,Mining and logging,3903.09,4,3646099.8,0.001070483589066871
11,1979,Other services,191405.37,208,3646099.8,0.052495921806638424
11,1979,Professional and business services,531213.28,608,3646099.8,0.1456935654915425
11,1979,Retail trade,389634.18,422,3646099.8,0.10686327894809682
11,1979,Transportation and warehousing,210483.35,216,3646099.8,0.05772835674986187
11,1979,Utilities,44184.93,53,3646099.8,0.012118409375409856
11,1979,Wholesale trade,67307.74,71,3646099.8,0.01846020232358972
11,1980,Construction,141149.2,357,3620993.27,0.0389807960068371
11,1980,Education and health services,690237.78,1979,3620993.27,0.1906211165092831
11,1980,Financial activities,296762.76,757,3620993.27,0.08195617552197218
11,1980,Government,839326.97,2338,3620993.27,0.23179467825964778
11,1980,Information,42621.54,120,3620993.27,0.011770676392336957
11,1980,Leisure and hospitality,34103.49,94,3620993.27,0.00941826936894583
11,1980,Manufacturing - Durable goods,25843.27,73,3620993.27,0.007137066565163762
11,1980,Manufacturing - Nondurable goods,137382.5,406,3620993.27,0.037940556569993296
11,1980,Mining and logging,3771.09,9,3620993.27,0.001041451811369978
11,1980,Other services,212485.27,618,3620993.27,0.05868148713792003
11,1980,Professional and business services,581834.37,1590,3620993.27,0.16068363750369521
11,1980,Retail trade,380882.2,1060,3620993.27,0.10518721566140884
11,1980,Transportation and warehousing,152138.11,412,3620993.27,0.042015573809669075
11,1980,Utilities,35277.94,94,3620993.27,0.009742614075612464
11,1980,Wholesale trade,47176.78,135,3620993.27,0.013028684806144365
11,1981,Construction,105002.91,235,3320300.47,0.03162452041576828
11,1981,Education and health services,682887.87,1611,3320300.47,0.2056705036698079
11,1981,Financial activities,237053.98,547,3320300.47,0.07139533971152918
11,1981,Government,746518.39,1720,3320300.47,0.2248345885395125
11,1981,Information,47431.05,121,3320300.47,0.014285167992642546
11,1981,Leisure and hospitality,35692.52,80,3320300.47,0.010749786148119297
11,1981,Manufacturing - Durable goods,27627.03,65,3320300.47,0.008320641535192144
11,1981,Manufacturing - Nondurable goods,97043.42,240,3320300.47,0.029227300624391984
11,1981,Mining and logging,2931.19,6,3320300.47,0.0008828086573743129
11,1981,Other services,231186.16,556,3320300.47,0.06962808399084436
11,1981,Professional and business services,510957.73,1157,3320300.47,0.1538890033045714
11,1981,Retail trade,319691.32,728,3320300.47,0.09628385228641671
11,1981,Transportation and warehousing,190706.68,402,3320300.47,0.057436572901488035
11,1981,Utilities,38096.75,85,3320300.47,0.011473886277527165
11,1981,Wholesale trade,47473.47,110,3320300.47,0.014297943944814127
11,1982,Construction,101729.76,209,3419320.1,0.029751458484392847
11,1982,Education and health services,636329.12,1353,3419320.1,0.18609814272726322
11,1982,Financial activities,227925.46,453,3419320.1,0.06665812305785586
11,1982,Government,761759.4,1587,3419320.1,0.2227809557812385
11,1982,Information,51397.25,113,3419320.1,0.015031423937173943
11,1982,Leisure and hospitality,26599.79,60,3419320.1,0.007779262900832244
11,1982,Manufacturing - Durable goods,22365.2,46,3419320.1,0.006540832488891578
11,1982,Manufacturing - Nondurable goods,119651.29,244,3419320.1,0.03499271390239246
11,1982,Other services,240661.12,523,3419320.1,0.07038274070918367
11,1982,Professional and business services,584387.64,1212,3419320.1,0.17090755556930748
11,1982,Retail trade,374084.77,763,3419320.1,0.10940326119218848
11,1982,Transportation and warehousing,186303.74,380,3419320.1,0.05448560958068827
11,1982,Utilities,31701.08,57,3419320.1,0.009271164755823826
11,1982,Wholesale trade,54424.48,105,3419320.1,0.0159167549127676
11,1983,Construction,107984.4,242,3511187.89,0.03075437811446769
11,1983,Education and health services,609367.76,1299,3511187.89,0.1735503137657495
11,1983,Financial activities,269035.88,531,3511187.89,0.07662246750344083
11,1983,Government,761765.03,1660,3511187.89,0.21695365040689976
11,1983,Information,54070.32,115,3511187.89,0.01539943793779717
11,1983,Leisure and hospitality,52094.72,104,3511187.89,0.014836779355604351
11,1983,Manufacturing - Durable goods,20607.96,43,3511187.89,0.005869227351430629
11,1983,Manufacturing - Nondurable goods,110417.69,232,3511187.89,0.031447388593038236
11,1983,Mining and logging,1161.44,1,3511187.89,0.00033078264005974344
11,1983,Other services,266289.54,589,3511187.89,0.07584029916439475
11,1983,Professional and business services,625439.54,1355,3511187.89,0.17812761936815635
11,1983,Retail trade,392918.0,820,3511187.89,0.11190457825371458
11,1983,Transportation and warehousing,152402.77,319,3511187.89,0.04340490306259286
11,1983,Utilities,32384.94,66,3511187.89,0.009223357169872217
11,1983,Wholesale trade,55247.9,102,3511187.89,0.01573481731278129
11,1984,Construction,135185.56,291,3583862.63,0.03772063104996856
11,1984,Education and health services,670315.46,1492,3583862.63,0.1870371521466491
11,1984,Financial activities,259165.9,532,3583862.63,0.07231468578917044
11,1984,Government,727798.31,1631,3583862.63,0.20307650854352086
11,1984,Information,66866.75,135,3583862.63,0.018657732425419443
11,1984,Leisure and hospitality,44805.909999999996,97,3583862.63,0.012502128185644213
11,1984,Manufacturing - Durable goods,28205.84,61,3583862.63,0.007870234691445191
11,1984,Manufacturing - Nondurable goods,121459.22,265,3583862.63,0.03389059027633545
11,1984,Other services,245965.79,542,3583862.63,0.0686314782104246
11,1984,Professional and business services,636512.75,1422,3583862.63,0.1776052309237087
11,1984,Retail trade,378146.05,859,3583862.63,0.10551354475324853
11,1984,Transportation and warehousing,191363.62,400,3583862.63,0.053395913782554774
11,1984,Utilities,30017.579999999998,65,3583862.63,0.008375761880136572
11,1984,Wholesale trade,48053.89,95,3583862.63,0.013408407341773588
11,1985,Construction,161722.0,356,3539729.59,0.04568767073532304
11,1985,Education and health services,666037.02,1585,3539729.59,0.188160423858818
11,1985,Financial activities,228895.25,545,3539729.59,0.06466461467752965
11,1985,Government,733550.9,1737,3539729.59,0.2072335983156273
11,1985,Information,50212.11,117,3539729.59,0.014185295436649443
11,1985,Leisure and hospitality,48285.83,110,3539729.59,0.013641106975066986
11,1985,Manufacturing - Durable goods,27324.68,62,3539729.59,0.007719425822015969
11,1985,Manufacturing - Nondurable goods,120654.37,286,3539729.59,0.03408575907630278
11,1985,Other services,207935.46,480,3539729.59,0.05874331773461825
11,1985,Professional and business services,643899.37,1527,3539729.59,0.1819063726842479
11,1985,Retail trade,397544.54,919,3539729.59,0.11230929648498941
11,1985,Transportation and warehousing,171726.02,385,3539729.59,0.048513880971342786
11,1985,Utilities,26270.07,59,3539729.59,0.007421490634260568
11,1985,Wholesale trade,55671.97,121,3539729.59,0.015727746593207987
11,1986,Construction,173099.56,375,3607209.27,0.047987113317659
11,1986,Education and health services,643212.15,1500,3607209.27,0.1783129565976082
11,1986,Financial activities,247096.51,571,3607209.27,0.06850074157189112
11,1986,Government,736679.31,1697,3607209.27,0.20422416745452643
11,1986,Information,73722.68,166,3607209.27,0.020437594406603418
11,1986,Leisure and hospitality,56601.78,121,3607209.27,0.01569129367423698
11,1986,Manufacturing - Durable goods,32380.68,71,3607209.27,0.008976656904632539
11,1986,Manufacturing - Nondurable goods,108269.61,256,3607209.27,0.03001478480897783
11,1986,Other services,219241.9,496,3607209.27,0.060778813645042555
11,1986,Professional and business services,692893.75,1627,3607209.27,0.19208581985042414
11,1986,Retail trade,400390.06,909,3607209.27,0.11099718093150719
11,1986,Transportation and warehousing,156807.49,339,3607209.27,0.043470583008343174
11,1986,Utilities,20272.65,41,3607209.27,0.0056200371208294225
11,1986,Wholesale trade,46541.14,104,3607209.27,0.012902256707717986
11,1987,Construction,185855.69,388,3844228.73,0.048346678372595174
11,1987,Education and health services,689456.91,1546,3844228.73,0.1793485659735965
11,1987,Financial activities,270835.02,592,3844228.73,0.07045236873821502
11,1987,Government,779937.78,1715,3844228.73,0.20288537305635299
11,1987,Information,86859.06,190,3844228.73,0.02259466491214741
11,1987,Leisure and hospitality,61554.46,131,3844228.73,0.01601217417674312
11,1987,Manufacturing - Durable goods,23835.94,50,3844228.73,0.006200447911433199
11,1987,Manufacturing - Nondurable goods,121048.57,270,3844228.73,0.03148838908968874
11,1987,Other services,215488.27,468,3844228.73,0.05605500742407697
11,1987,Professional and business services,767328.89,1724,3844228.73,0.19960541994076403
11,1987,Retail trade,416387.45,890,3844228.73,0.10831495190453977
11,1987,Transportation and warehousing,145301.99,307,3844228.73,0.03779743615827979
11,1987,Utilities,18534.18,39,3844228.73,0.004821300006256392
11,1987,Wholesale trade,61804.52,132,3844228.73,0.016077222335310937
11,1988,Construction,165943.95,355,3856906.59,0.04302514103666691
11,1988,Education and health services,646519.46,1471,3856906.59,0.1676264241597824
11,1988,Financial activities,246395.71,560,3856906.59,0.0638842824554898
11,1988,Government,825902.13,1842,3856906.59,0.21413589121949672
11,1988,Information,70630.91,158,3856906.59,0.018312839150195756
11,1988,Leisure and hospitality,49160.16,113,3856906.59,0.012746007416269836
11,1988,Manufacturing - Durable goods,24387.1,55,3856906.59,0.00632296879142204
11,1988,Manufacturing - Nondurable goods,121195.99,267,3856906.59,0.031423107397578955
11,1988,Mining and logging,678.45,1,3856906.59,0.00017590521942093497
11,1988,Other services,202144.89,451,3856906.59,0.052411144860005546
11,1988,Professional and business services,830929.83,1891,3856906.59,0.2154394488459727
11,1988,Retail trade,394708.02,870,3856906.59,0.10233797754484898
11,1988,Transportation and warehousing,174156.46,365,3856906.59,0.04515444072499562
11,1988,Utilities,39155.74,81,3856906.59,0.01015211001000675
11,1988,Wholesale trade,64997.79,141,3856906.59,0.016852311167847082
11,1989,Construction,206994.48,386,3719888.94,0.05564533870196674
11,1989,Education and health services,614057.86,1299,3719888.94,0.16507424546927468
11,1989,Financial activities,324874.05,661,3719888.94,0.08733434122363878
11,1989,Government,698957.52,1441,3719888.94,0.1878974160986645
11,1989,Information,68321.44,134,3719888.94,0.018366526824319655
11,1989,Leisure and hospitality,51818.56,107,3719888.94,0.013930136312080328
11,1989,Manufacturing - Durable goods,27683.82,56,3719888.94,0.0074421092797464
11,1989,Manufacturing - Nondurable goods,115247.24,239,3719888.94,0.030981365803894136
11,1989,Other services,193471.55,389,3719888.94,0.05201003393397008
11,1989,Professional and business services,824314.54,1711,3719888.94,0.22159654583666147
11,1989,Retail trade,344258.2,725,3719888.94,0.09254528980642095
11,1989,Transportation and warehousing,169933.81,335,3719888.94,0.04568249556396702
11,1989,Utilities,25763.75,54,3719888.94,0.006925946020313176
11,1989,Wholesale trade,54192.12,105,3719888.94,0.014568209125082106
11,1990,Construction,186733.54,345,3687212.5900000003,0.050643551312022396
11,1990,Education and health services,652143.15,1337,3687212.5900000003,0.17686616490968315
11,1990,Financial activities,332219.78,656,3687212.5900000003,0.09010052224843375
11,1990,Government,655303.28,1336,3687212.5900000003,0.1777232161164865
11,1990,Information,56372.56,116,3687212.5900000003,0.015288665522808923
11,1990,Leisure and hospitality,39507.91,86,3687212.5900000003,0.010714844624676225
11,1990,Manufacturing - Durable goods,27426.15,58,3687212.5900000003,0.007438179744336358
11,1990,Manufacturing - Nondurable goods,106704.72,216,3687212.5900000003,0.028939128785085862
11,1990,Other services,195255.31,392,3687212.5900000003,0.05295471992299744
11,1990,Professional and business services,861650.39,1764,3687212.5900000003,0.2336861162648612
11,1990,Retail trade,370986.24,722,3687212.5900000003,0.10061428001361862
11,1990,Transportation and warehousing,141584.02,282,3687212.5900000003,0.03839865929726606
11,1990,Utilities,19081.36,36,3687212.5900000003,0.005175009450702706
11,1990,Wholesale trade,42244.18,90,3687212.5900000003,0.011456941787020747
11,1991,Construction,108784.63,202,3461497.3699999996,0.0314270439558358
11,1991,Education and health services,641415.69,1248,3461497.3699999996,0.18530006567649077
11,1991,Financial activities,279404.66,537,3461497.3699999996,0.08071785997052484
11,1991,Government,629655.36,1257,3461497.3699999996,0.18190259667884712
11,1991,Information,67361.96,140,3461497.3699999996,0.019460352789463484
11,1991,Leisure and hospitality,45441.27,93,3461497.3699999996,0.01312763383668265
11,1991,Manufacturing - Durable goods,28445.27,59,3461497.3699999996,0.008217619994898336
11,1991,Manufacturing - Nondurable goods,99494.78,190,3461497.3699999996,0.028743277652699763
11,1991,Mining and logging,366.71,1,3461497.3699999996,0.00010593970204287632
11,1991,Other services,221861.89,433,3461497.3699999996,0.064094195743965
11,1991,Professional and business services,769124.24,1560,3461497.3699999996,0.222194084752403
11,1991,Retail trade,365730.27,693,3461497.3699999996,0.10565666557187073
11,1991,Transportation and warehousing,143258.41,276,3461497.3699999996,0.041386254180513796
11,1991,Utilities,26971.32,45,3461497.3699999996,0.007791807162343735
11,1991,Wholesale trade,34180.91,70,3461497.3699999996,0.009874602331418212
11,1992,Construction,87088.08,165,3400508.85,0.025610308292536865
11,1992,Education and health services,686623.62,1317,3400508.85,0.20191790413955252
11,1992,Financial activities,214318.96,411,3400508.85,0.06302555571940358
11,1992,Government,662802.39,1257,3400508.85,0.19491270843185718
11,1992,Information,67359.18,131,3400508.85,0.019808558945523694
11,1992,Leisure and hospitality,53223.11,103,3400508.85,0.015651513449229812
11,1992,Manufacturing - Durable goods,26189.14,54,3400508.85,0.007701535609883797
11,1992,Manufacturing - Nondurable goods,116838.55,227,3400508.85,0.03435913716266317
11,1992,Other services,210348.27,384,3400508.85,0.061857880475741145
11,1992,Professional and business services,710182.27,1391,3400508.85,0.20884588199204362
11,1992,Retail trade,392215.78,724,3400508.85,0.11534032031706079
11,1992,Transportation and warehousing,133655.98,245,3400508.85,0.0393046999421866
11,1992,Utilities,18542.89,32,3400508.85,0.005452975074598026
11,1992,Wholesale trade,21120.63,40,3400508.85,0.00621102044771917
11,1993,Construction,109585.41,205,3373702.63,0.0324822374756841
11,1993,Education and health services,718036.73,1372,3373702.63,0.21283343813855934
11,1993,Financial activities,240581.19,440,3373702.63,0.07131072782191239
11,1993,Government,650213.04,1258,3373702.63,0.1927298020335598
11,1993,Information,53735.85,103,3373702.63,0.01592785609560378
11,1993,Leisure and hospitality,59120.16,106,3373702.63,0.017523820704968298
11,1993,Manufacturing - Durable goods,24018.91,47,3373702.63,0.007119450833163681
11,1993,Manufacturing - Nondurable goods,129240.83,243,3373702.63,0.03830830519878985
11,1993,Mining and logging,2521.91,3,3373702.63,0.0007475199436886943
11,1993,Other services,181298.7,340,3373702.63,0.053738790842985475
11,1993,Professional and business services,686106.53,1323,3373702.63,0.20336899995243507
11,1993,Retail trade,356674.41,634,3373702.63,0.10572194680952067
11,1993,Transportation and warehousing,119386.47,214,3373702.63,0.03538737200439032
11,1993,Utilities,18475.41,31,3373702.63,0.005476300677988327
11,1993,Wholesale trade,24707.08,47,3373702.63,0.007323431466750228
11,1994,Construction,119667.091,238,3338967.2488,0.035839552197766376
11,1994,Education and health services,693406.8499,1409,3338967.2488,0.2076710546200192
11,1994,Financial activities,233978.8818,467,3338967.2488,0.0700752251715228
11,1994,Government,600635.6682,1239,3338967.2488,0.17988666058819952
11,1994,Information,70997.3385,146,3338967.2488,0.021263262922245167
11,1994,Leisure and hospitality,54891.5958,101,3338967.2488,0.01643969278816006
11,1994,Manufacturing - Durable goods,16396.9926,36,3338967.2488,0.004910797674308713
11,1994,Manufacturing - Nondurable goods,94973.6061,204,3338967.2488,0.028444006491567957
11,1994,Other services,132609.5288,264,3338967.2488,0.039715732116767204
11,1994,Professional and business services,744808.4272,1494,3338967.2488,0.22306550849448392
11,1994,Retail trade,390845.1188,752,3338967.2488,0.1170556910794698
11,1994,Transportation and warehousing,140672.7043,279,3338967.2488,0.04213060321288169
11,1994,Utilities,15030.322400000001,27,3338967.2488,0.004501488418432911
11,1994,Wholesale trade,30053.1234,57,3338967.2488,0.009000724224174667
11,1995,Construction,90403.8995,197,3163335.1947,0.02857866584972308
11,1995,Education and health services,623867.4559,1399,3163335.1947,0.19721825778856972
11,1995,Financial activities,216225.2985,482,3163335.1947,0.06835358417352483
11,1995,Government,648747.0554,1443,3163335.1947,0.20508324773389214
11,1995,Information,63357.832,143,3163335.1947,0.02002880760349162
11,1995,Leisure and hospitality,36142.7435,82,3163335.1947,0.01142551809259899
11,1995,Manufacturing - Durable goods,12569.4558,28,3163335.1947,0.003973482108712177
11,1995,Manufacturing - Nondurable goods,85631.9502,205,3163335.1947,0.027070147464445686
11,1995,Other services,147273.9793,331,3163335.1947,0.04655655194136547
11,1995,Professional and business services,719036.1515,1608,3163335.1947,0.22730318073933706
11,1995,Retail trade,307892.4262,644,3163335.1947,0.09733158430881982
11,1995,Transportation and warehousing,161102.0883,348,3163335.1947,0.050927922077280335
11,1995,Utilities,15163.1984,32,3163335.1947,0.004793421331196622
11,1995,Wholesale trade,35921.6602,80,3163335.1947,0.011355628787042497
11,1996,Construction,96506.3401,195,2925945.4614,0.03298295931114993
11,1996,Education and health services,556010.6816,1229,2925945.4614,0.1900276983747883
11,1996,Financial activities,218989.7737,483,2925945.4614,0.0748441064910411
11,1996,Government,579403.3308,1268,2925945.4614,0.1980226010510696
11,1996,Information,75462.5955,163,2925945.4614,0.025790841454677294
11,1996,Leisure and hospitality,50982.0917,107,2925945.4614,0.017424142853163845
11,1996,Manufacturing - Durable goods,10763.1256,24,2925945.4614,0.0036785120372168807
11,1996,Manufacturing - Nondurable goods,86789.0355,190,2925945.4614,0.029661877381157123
11,1996,Other services,116141.4632,252,2925945.4614,0.0396936527806738
11,1996,Professional and business services,689530.2225,1511,2925945.4614,0.2356606545120206
11,1996,Retail trade,285236.0018,585,2925945.4614,0.09748507125745294
11,1996,Transportation and warehousing,109342.1487,223,2925945.4614,0.03736985194784943
11,1996,Utilities,15432.0139,34,2925945.4614,0.0052741973846006426
11,1996,Wholesale trade,35356.6368,69,2925945.4614,0.012083833163138534
11,1997,Construction,71221.9595,141,2863500.6919,0.024872338847853587
11,1997,Education and health services,570816.4419,1220,2863500.6919,0.1993421700629134
