STATEFIP,state_name,year,month,unemployment_rate,unemployment_total,employment_total,labor_force,population
1,Alabama,1985,3,9.8,173620.0,1600836.0,1774456.0,2938859.0
1,Alabama,1985,4,9.2,163989.0,1609740.0,1773729.0,2941491.0
1,Alabama,1985,5,9.0,160767.0,1617675.0,1778442.0,2943141.0
1,Alabama,1985,6,10.1,182837.0,1623643.0,1806480.0,2945772.0
1,Alabama,1985,7,9.6,174839.0,1638068.0,1812907.0,2947421.0
1,Alabama,1985,8,9.4,169947.0,1631437.0,1801384.0,2950051.0
1,Alabama,1985,9,9.2,165294.0,1629996.0,1795290.0,2951687.0
1,Alabama,1985,10,9.1,165326.0,1643660.0,1808986.0,2954327.0
1,Alabama,1985,11,9.0,162358.0,1646232.0,1808590.0,2956955.0
1,Alabama,1985,12,9.1,163237.0,1639577.0,1802814.0,2958601.0
1,Alabama,1986,1,9.6,171665.0,1617634.0,1789299.0,2961228.0
1,Alabama,1986,2,10.3,185136.0,1614385.0,1799521.0,2963854.0
1,Alabama,1986,3,9.7,174394.0,1631772.0,1806166.0,2965521.0
1,Alabama,1986,4,9.2,167504.0,1644948.0,1812452.0,2968146.0
1,Alabama,1986,5,9.2,167622.0,1663047.0,1830669.0,2970782.0
1,Alabama,1986,6,10.2,190511.0,1680977.0,1871488.0,2972414.0
1,Alabama,1986,7,9.6,179422.0,1685147.0,1864569.0,2975048.0
1,Alabama,1986,8,9.6,177267.0,1677865.0,1855132.0,2977670.0
1,Alabama,1986,9,9.5,174695.0,1669978.0,1844673.0,2980292.0
1,Alabama,1986,10,9.4,173557.0,1678263.0,1851820.0,2982924.0
1,Alabama,1986,11,9.3,171614.0,1677880.0,1849494.0,2985544.0
1,Alabama,1986,12,8.8,161607.0,1673644.0,1835251.0,2988175.0
1,Alabama,1987,1,9.7,177262.0,1641952.0,1819214.0,2991785.0
1,Alabama,1987,2,9.7,177001.0,1650830.0,1827831.0,2994403.0
1,Alabama,1987,3,8.7,159558.0,1668088.0,1827646.0,2997054.0
1,Alabama,1987,4,8.0,145910.0,1683514.0,1829424.0,2999671.0
1,Alabama,1987,5,7.9,145164.0,1702818.0,1847982.0,3002299.0
1,Alabama,1987,6,8.5,157966.0,1707421.0,1865387.0,3004915.0
1,Alabama,1987,7,8.1,151090.0,1720344.0,1871434.0,3007541.0
1,Alabama,1987,8,8.0,149392.0,1716774.0,1866166.0,3009166.0
1,Alabama,1987,9,7.7,141793.0,1707865.0,1849658.0,3009801.0
1,Alabama,1987,10,7.6,142193.0,1721137.0,1863330.0,3011436.0
1,Alabama,1987,11,7.5,138653.0,1722002.0,1860655.0,3013060.0
1,Alabama,1987,12,7.2,133639.0,1717359.0,1850998.0,3013705.0
1,Alabama,1988,1,7.9,144637.0,1691471.0,1836108.0,3015328.0
1,Alabama,1988,2,8.0,146141.0,1691144.0,1837285.0,3016951.0
1,Alabama,1988,3,7.2,131938.0,1698850.0,1830788.0,3017607.0
1,Alabama,1988,4,6.7,122730.0,1713698.0,1836428.0,3019228.0
1,Alabama,1988,5,6.8,126010.0,1716374.0,1842384.0,3020861.0
1,Alabama,1988,6,7.6,141537.0,1727068.0,1868605.0,3021494.0
1,Alabama,1988,7,7.4,137736.0,1732931.0,1870667.0,3023126.0
1,Alabama,1988,8,7.5,140803.0,1731463.0,1872266.0,3023758.0
1,Alabama,1988,9,7.2,133144.0,1723411.0,1856555.0,3024390.0
1,Alabama,1988,10,7.0,131188.0,1742791.0,1873979.0,3025033.0
1,Alabama,1988,11,7.2,134028.0,1736444.0,1870472.0,3026652.0
1,Alabama,1988,12,7.0,130405.0,1733420.0,1863825.0,3027295.0
1,Alabama,1989,1,7.9,145649.0,1707202.0,1852851.0,3027926.0
1,Alabama,1989,2,7.5,139377.0,1715581.0,1854958.0,3028556.0
1,Alabama,1989,3,6.8,126103.0,1730946.0,1857049.0,3029221.0
1,Alabama,1989,4,6.7,125374.0,1739685.0,1865059.0,3029852.0
1,Alabama,1989,5,6.6,123355.0,1749301.0,1872656.0,3031481.0
1,Alabama,1989,6,7.7,146089.0,1759998.0,1906087.0,3032111.0
1,Alabama,1989,7,7.2,137268.0,1771220.0,1908488.0,3032752.0
1,Alabama,1989,8,7.1,135644.0,1765220.0,1900864.0,3034368.0
1,Alabama,1989,9,6.8,127599.0,1752974.0,1880573.0,3034997.0
1,Alabama,1989,10,6.6,124958.0,1772299.0,1897257.0,3036624.0
1,Alabama,1989,11,6.6,125459.0,1776784.0,1902243.0,3037253.0
1,Alabama,1989,12,6.4,120649.0,1770000.0,1890649.0,3037893.0
1,Alabama,1990,1,7.1,132278.0,1742379.0,1874657.0,3038768.0
1,Alabama,1990,2,7.3,137432.0,1743479.0,1880911.0,3045744.0
1,Alabama,1990,3,6.6,124091.0,1768491.0,1892582.0,3052718.0
1,Alabama,1990,4,6.4,120519.0,1774399.0,1894918.0,3060031.0
1,Alabama,1990,5,6.3,119757.0,1786490.0,1906247.0,3066052.0
1,Alabama,1990,6,7.0,135063.0,1789791.0,1924854.0,3073866.0
1,Alabama,1990,7,6.9,133411.0,1797708.0,1931119.0,3080678.0
1,Alabama,1990,8,7.2,137916.0,1781355.0,1919271.0,3083491.0
1,Alabama,1990,9,7.0,132823.0,1772407.0,1905230.0,3087304.0
1,Alabama,1990,10,6.8,129598.0,1789990.0,1919588.0,3090117.0
1,Alabama,1990,11,6.7,128394.0,1784467.0,1912861.0,3093930.0
1,Alabama,1990,12,6.8,129067.0,1779206.0,1908273.0,3096742.0
1,Alabama,1991,1,7.4,140342.0,1745694.0,1886036.0,3099555.0
1,Alabama,1991,2,7.7,146851.0,1751369.0,1898220.0,3101368.0
1,Alabama,1991,3,7.2,137070.0,1769420.0,1906490.0,3104180.0
1,Alabama,1991,4,6.6,126201.0,1786703.0,1912904.0,3106993.0
1,Alabama,1991,5,6.9,131836.0,1784108.0,1915944.0,3109806.0
1,Alabama,1991,6,7.9,153588.0,1799944.0,1953532.0,3112620.0
1,Alabama,1991,7,7.5,145234.0,1803285.0,1948519.0,3116433.0
1,Alabama,1991,8,7.6,145941.0,1784464.0,1930405.0,3119246.0
1,Alabama,1991,9,7.2,137769.0,1787203.0,1924972.0,3123059.0
1,Alabama,1991,10,7.0,135906.0,1798758.0,1934664.0,3126872.0
