STATEFIP,YEAR,bartik_shock
6,2012,0.018002546127203204
6,2013,0.016205398232507374
6,2014,0.020138812122425062
6,2015,0.021367006688435736
6,2016,0.019222984491425756
6,2017,0.01640594569232286
6,2018,0.015968352787622153
6,2019,0.014817595194991838
6,2020,-0.041475501441740906
6,2021,0.02994616387178319
6,2022,0.038118300944687857
6,2023,0.021926165095452345
6,2024,0.010916705789368921
6,2025,0.003268352293916372
8,1978,0.04984925876905277
8,1979,0.04141497634203327
8,1980,0.010306366691273217
8,1981,0.014996327881296874
8,1982,-0.013287243448509687
8,1983,0.007033391015467202
8,1984,0.05360624119738682
8,1985,0.03746176507698946
8,1986,0.022375723775947473
8,1987,0.0300868790446053
8,1988,0.03513011348707045
8,1989,0.02825952161839856
8,1990,0.013004025323466168
8,1991,-0.01002938261464489
8,1992,0.00272547640936525
8,1993,0.02280559632444422
8,1994,0.035887012542747294
8,1995,0.02958986018767177
8,1996,0.025704996725355766
8,1997,0.03118327566292291
8,1998,0.030114894161819367
8,1999,0.02898859013431747
8,2000,0.022654507256723796
8,2001,-0.0005625267309258759
8,2002,-0.013506676617362882
8,2003,-0.002181974987229298
8,2004,0.012866073716278622
8,2005,0.02079767213865513
8,2006,0.019964894831829946
8,2007,0.010374768584051284
8,2008,-0.009210671302667338
8,2009,-0.052919187865368665
8,2010,-0.008622703331280264
8,2011,0.016203035782404927
8,2012,0.020295663795008922
8,2013,0.018268022225446573
8,2014,0.020821306373975973
8,2015,0.022374540040381474
8,2016,0.017926657701220528
8,2017,0.016444549837893983
8,2018,0.01757989250215027
8,2019,0.01427999032505942
8,2020,-0.044777165690677266
8,2021,0.02949121345150999
8,2022,0.03828367703287829
8,2023,0.019032237382181006
8,2024,0.01110610076705898
8,2025,0.005468838553829449
9,1978,0.05434194974903972
9,1979,0.03963324557482931
9,1980,0.0032484824706678073
9,1981,0.012113671783385856
9,1982,-0.022119226265807413
9,1983,0.008850036862044044
9,1984,0.05485124351333773
9,1985,0.03220063736727044
9,1986,0.020859723538676475
9,1987,0.027067116203620515
9,1988,0.03325398512149888
9,1989,0.025462926580068136
9,1990,0.00902354909781892
9,1991,-0.012326009779611633
9,1992,0.002033022552940016
9,1993,0.021345221960565482
9,1994,0.035325635456359014
9,1995,0.02887270658708531
9,1996,0.02340647973869108
9,1997,0.03035626025697467
9,1998,0.029063581744438457
9,1999,0.0239217849430793
9,2000,0.01950834187528996
