YEAR,STATEFIP,mean_abstract,mean_routine,mean_manual,mean_rti,total_employed,n_obs,share_routine,share_NRC,share_NRM,real_gdp,population,gdp_pc
1976,34,3.200152813290119,2.659831202038267,2.850787806482898,-1.1934413981042156,2989631.2066666665,21672,0.5627005844240246,0.31084309582632935,0.12645631974964613,,7344079.0,
1976,36,3.194428359162059,2.6471493940384656,2.831903130984388,-1.1902495200010632,6576366.947499999,47669,0.535294075707073,0.31477832659318766,0.14992759769973943,,17974654.0,
1976,37,3.1630466761000524,2.701513703405641,2.9770860856213432,-1.2112103134400916,5935469.639166667,43256,0.597480827940064,0.2737031698673836,0.12881600219255243,,5593463.0,
1976,39,3.1433439324168706,2.7420333093513576,2.9707001819784886,-1.1910349392091006,4445807.543333334,33076,0.6005043512797109,0.2632195604186801,0.13627608830160898,,10752731.0,
1976,40,3.1667647822628915,2.671323565145711,2.9884456680679823,-1.2259981409161957,1819866.955,13352,0.5729298224398658,0.2890551147438091,0.13801506281632508,,2823396.0,
1976,42,3.1304684838584866,2.7343755226811406,2.991223028023606,-1.1953609587258707,4749978.550833333,34693,0.605532738973065,0.25330723708613717,0.14116002394079788,,11887478.0,
1976,47,3.1290777413776696,2.720206376887631,3.050796114485174,-1.2184457530705632,4176413.2375000003,29871,0.6104284671414916,0.25669302801328536,0.13287850484522315,,4329160.0,
1976,48,3.1889324057968906,2.6375610114546597,2.9249898621149164,-1.2224771300588069,5290362.400833333,38008,0.5635522177569715,0.29814206319285763,0.13830571905017092,,12903268.0,
1976,50,3.1501751219147867,2.7050453348874988,3.009896139135924,-1.2190330304171364,1503163.3483333334,11069,0.5795567899807449,0.28192273574564336,0.13852047427361175,,485144.0,
1976,51,3.201100519282546,2.657161032972457,2.903961519636679,-1.2112940941709747,2125420.3333333335,15395,0.5598462203415242,0.30593558873990384,0.13421819091857196,,5132693.0,
1976,55,3.1384913138660466,2.7017983643689116,2.965495703530726,-1.2033887778211128,1963259.8133333335,14621,0.580985167478354,0.26407757350511035,0.15493725901653554,,4584688.0,
1977,1,3.143343294170039,2.7056983570824547,3.048470200180182,-1.225143636615192,1541124.9633333336,6228,0.6037310597565994,0.26205638347666965,0.1342125567667309,,3782736.0,
1977,2,3.250085341181418,2.5814325621624494,2.859039180135179,-1.2382025046483305,139616.85,5678,0.5065282769692608,0.3338222797382114,0.1596494432925277,,397363.0,
1977,4,3.2324824575250832,2.584030324596878,2.8637617843305354,-1.233043546233148,883307.9116666666,3942,0.516491715916675,0.33771847522328335,0.14578980886004178,,2427310.0,
1977,5,3.097442543585814,2.7085199514421134,3.0914533920526845,-1.2280544069115897,806427.5383333334,4164,0.6251588889211965,0.24902904809907764,0.12581206297972586,,2207228.0,
1977,6,3.1995607823294443,2.628486252783444,2.8621788481483197,-1.2099245344369935,10802691.721666666,77921,0.546510852400587,0.31352954346043915,0.1399596041389738,,22350247.0,
1977,8,3.2025060061430466,2.597335018014104,2.8628967267445904,-1.2214636244158772,1302634.42,6762,0.5308297404873191,0.31781744037987036,0.15135281913281048,,2696007.0,
1977,9,3.2052337541248046,2.674635944531474,2.8596473726036855,-1.1963176727893952,1366804.185,10246,0.5544396086682957,0.3184144014535848,0.1271459898781195,,3088729.0,
1977,10,3.19369797576743,2.642790036001438,2.8795690293120884,-1.2059481854166612,238766.85166666665,2624,0.5566553213454252,0.29853001710407684,0.14481466155049796,,594821.0,
1977,11,3.2233820187161246,2.5767694813647077,2.6647237937708756,-1.1593260183342422,282277.60000000003,2927,0.44725433478400456,0.34002007385669164,0.21272559135930372,,681768.0,
1977,12,3.1682529443356215,2.618305075343495,2.914783983272956,-1.2187551254068356,3081011.3158333334,21997,0.5549221978831788,0.2770866976969542,0.16799110441986698,,8888958.0,
