STATEFIP,YEAR,mean_routine,mean_abstract,mean_manual,total_emp
42,2015,2.275223409323139,3.7409503765372287,2.2019895580045414,27849406.1656
42,2016,2.272417222618272,3.743016150526514,2.2130430595366053,27050652.1251
42,2017,2.282772391293497,3.736663879191136,2.2347661513546857,28056956.1725
42,2018,2.274425373579894,3.748698355589665,2.220682832470116,29638220.2875
42,2019,2.278841148169862,3.7419433093603733,2.2307091026144525,30280832.272200003
42,2020,2.27739587737465,3.7519084039459183,2.2201120131477863,28890483.3182
42,2021,2.2860663202154714,3.7378123460705805,2.2230341796861746,29144316.9608
42,2022,2.288762050331925,3.742970571714183,2.2367664551311512,32027472.512100004
42,2023,2.279147931509508,3.730732134079473,2.2237570539969327,33462902.7478
42,2024,2.2763719360205923,3.7381253084066643,2.232308889518408,33619466.8856
42,2025,2.2770464974620883,3.744722174337342,2.2141097306944912,30598427.9957
42,2026,2.2717986130741172,3.731349817045834,2.205570211507813,5522895.2048
44,1977,2.2757984300683938,3.727706788663008,2.2714928198706943,641344.57
44,1978,2.2866485071308764,3.7504671827895724,2.28017405906956,1281289.21
44,1979,2.248773256615874,3.7462683436843536,2.2494683319006885,1432884.51
44,1980,2.2425144582137313,3.7406601467846934,2.2282013729731953,1356984.24
44,1981,2.263693030872463,3.7474699258037805,2.2639661177936454,1365606.57
44,1982,2.2637351362817975,3.7533909628927433,2.2587276189280745,1442160.15
44,1983,2.283279037806005,3.7371345529046844,2.2599701458969026,1338666.4100000001
44,1984,2.2766983746197726,3.7535624203763573,2.2627336814083163,1468999.84
44,1985,2.2744816174528935,3.7511760940713343,2.262131475365562,1562046.52
44,1986,2.274779040511669,3.7456433586293647,2.2536045497168375,1647190.97
44,1987,2.2749318403166,3.738652354440339,2.252118304644949,1724592.0
44,1988,2.250864365320449,3.7601431417601003,2.208729369137255,1842127.49
44,1989,2.2541097570047186,3.7502980413600704,2.2210041188924317,1757535.75
44,1990,2.250396732613811,3.7452805246878316,2.2260884283363533,1819608.4500000002
44,1991,2.2607947696859165,3.7405239831087957,2.2313983963883635,1799165.9400000002
44,1992,2.2823054744672406,3.716639213011825,2.25463001890352,1864384.0300000003
44,1993,2.272448058492795,3.743794112302988,2.2632624312045606,1820616.98
44,1994,2.248817925704754,3.7336273670781943,2.2402340663520652,1856440.8329
44,1995,2.264541616929353,3.7380501095670713,2.224752541213811,1901825.8828
44,1996,2.2592336599279075,3.7211321737545826,2.2303076565089994,1875980.9796999996
44,1997,2.2772688993432704,3.7210457024461734,2.248791904655551,2031387.0217
44,1998,2.297944625455911,3.7252455451412816,2.253325580815433,1960154.9891
44,1999,2.2875332010658083,3.721055599521784,2.2436159314035895,2089005.1137
44,2000,2.2652296836154036,3.714642724398891,2.240777903407517,2332864.033
44,2001,2.273732807283446,3.715589333476003,2.2316981565335503,2334553.5982999997
44,2002,2.252362570338765,3.723336188800469,2.222832844921508,2330606.4619
44,2003,2.2350376027130032,3.7413546694304687,2.1856417791945715,2135037.1202000002
44,2004,2.2418582312684605,3.7463691920855267,2.193060566027771,2169759.1547
44,2005,2.2472771903726256,3.7459932269840155,2.197410727146106,2253328.4529999997
44,2006,2.25531526603641,3.7356960451346044,2.196915553408804,2232667.1915
44,2007,2.249881365423022,3.743459414083519,2.1891471182938935,2364807.0915
44,2008,2.2547365923032507,3.7275451613061756,2.200225216802008,2265189.8277
44,2009,2.246986284840284,3.739380326276986,2.189188254025478,2232737.4714
44,2010,2.2475347252975673,3.7434615807523866,2.1946619428480467,2395674.0497
44,2011,2.2510741450790737,3.7327370537208395,2.2037406683806484,2387901.4289
44,2012,2.24846547951875,3.752648993736417,2.2025611327172756,2255782.5933000003
44,2013,2.2375347214848156,3.7571276044135726,2.1878680908283306,2374212.9017000003
44,2014,2.2422161133400498,3.7575057481362446,2.1793697682861874,2486879.7035
44,2015,2.2441454468145703,3.745174086404429,2.1921927594270127,2381058.5915
44,2016,2.2442766283088362,3.7327097273915215,2.196993166268367,2379856.7783000004
44,2017,2.251611445687239,3.734892071060757,2.2089185471347896,2714830.2702
44,2018,2.257824829368658,3.7304005158198645,2.222785423736109,2795652.8384
44,2019,2.243535010352856,3.743412097276734,2.1920415725532547,2781988.229
44,2020,2.254952722243285,3.7503146059408747,2.20564163397635,2684356.1835000003
44,2021,2.268387473396684,3.7259251753854175,2.2283628396193786,2954139.6404999997
44,2022,2.261791329017995,3.7420263283321296,2.2145595772383126,3135097.3961
44,2023,2.283148782260707,3.7490079744873626,2.2306515565636698,2797755.8137999997
44,2024,2.2616283757875624,3.7277621919712747,2.197715947692683,2961210.2981000002
