STATEFIP,YEAR,mean_routine,mean_abstract,mean_manual,total_emp
44,2014,2.743316449955954,2.973899530543039,3.057530186031794,3491945.5626999997
44,2015,2.742015211094695,2.9965562082015387,3.069811194463282,3702600.4601
44,2016,2.760688693228284,2.9729975803398947,3.0918042921455866,3640810.8831
44,2017,2.735397043991862,2.969707452758172,3.098620634426634,3489015.0752
44,2018,2.7531737003356183,2.98107296999746,3.1410098054302003,3529364.2264
44,2019,2.7432052412669954,2.9841813884548247,3.109111952991265,3550516.4414
44,2020,2.7686193880494825,3.01255684481236,3.1628918619543134,3164331.1399999997
44,2021,2.7406950076374645,3.0045859155037475,3.0922118280405364,3165346.3881
44,2022,2.7389328030330757,2.9566031736168887,3.090975211340782,3433650.6672
44,2023,2.755271332118861,2.970363041885575,3.1383362957963614,3738958.4344
44,2024,2.730496988215636,2.995645423874363,3.1367891951622715,3653025.6113
44,2025,2.7268002022970808,3.008535789589237,3.1375459134804284,3331091.9866
44,2026,2.730783835059236,3.0055408885955788,3.2154974647182697,589875.877
45,1977,2.863436396151939,2.90306484731188,3.2589715761313753,5358811.08
45,1978,2.875979738539217,2.9046101250247136,3.276788257161745,10985712.3
45,1979,2.8742888754687224,2.91384923882769,3.2468277235434955,10899360.129999999
45,1980,2.857590296142768,2.9162362751136706,3.2490660465296557,10715467.799999999
45,1981,2.869066640734902,2.912018237237776,3.265855054450723,10961793.899999999
45,1982,2.837924796873398,2.9057694212313154,3.2562249856722025,11620184.27
45,1983,2.827204712531905,2.9205258720685174,3.247576693041679,12121669.82
45,1984,2.8559300728236607,2.9106274331368076,3.2554667917952838,12646513.34
45,1985,2.872233162931349,2.9355712275220647,3.2147195262772015,12571962.59
45,1986,2.8716586087961544,2.929069719693373,3.22920087691204,13308561.32
45,1987,2.853487159040376,2.9250769388731364,3.2025053518999687,13613906.45
45,1988,2.8680060819370428,2.9364917049359427,3.2055015783918943,13876410.87
45,1989,2.8600104722683977,2.941103751471448,3.231497943166085,14046798.350000001
45,1990,2.8698267340924226,2.9453607966476714,3.2204098347698213,14193701.04
45,1991,2.85947125427505,2.938219089551631,3.2051035933972454,13948436.040000001
45,1992,2.8557590787086395,2.9296701676642307,3.2088146382955016,13960560.39
45,1993,2.8364784340278635,2.9281841697087696,3.1850201462958494,14223556.96
45,1994,2.858674519869766,2.9148585372817677,3.199513219355713,14128828.3269
45,1995,2.8589096262208873,2.9113211662931824,3.2365319944450404,14552886.5502
45,1996,2.846031603948549,2.93435579487943,3.2442300400326802,14246743.5832
45,1997,2.847575953581323,2.9458029284414935,3.2431170304853842,14749443.714599999
45,1998,2.8337517925999327,2.9370774079758197,3.207581709684674,14979903.716699999
45,1999,2.8419174743618107,2.9626574543823954,3.205822229779292,14440896.1651
45,2000,2.83268342669444,2.9550646238087306,3.2109724906309527,14696694.871799998
45,2001,2.8039247545823005,2.9722803258815835,3.154816756581095,14336313.8525
45,2002,2.7946763040070675,2.982079380009325,3.1992227121582095,13962952.014600001
45,2003,2.7779079244341798,2.968126967813518,3.1602767553594937,15378229.3986
45,2004,2.7962713395827334,2.9656494773893867,3.1569869667065467,15538928.440100001
45,2005,2.798672813394842,2.9811939769237434,3.1700851617812353,15683625.0446
45,2006,2.7857708386750484,2.9969197679115074,3.195407212489855,15872989.8651
45,2007,2.78893585202041,2.9833392505503786,3.1847056238661287,16292482.0922
45,2008,2.7975742405749267,2.9849765616206354,3.1768331220261175,15392881.857500002
45,2009,2.756967038857132,2.9659061449133923,3.1093758573258796,14434553.9516
45,2010,2.764126706042406,2.976723632690937,3.128230305492551,14921222.3013
45,2011,2.7934647310062544,2.9572419996479025,3.157987121382857,14416633.7123
45,2012,2.7754884249155176,2.956189395534761,3.1304910013733083,15378535.2177
45,2013,2.807153389036045,2.96126969034469,3.161692250668234,15284314.810599998
45,2014,2.7927457054807405,2.9724745743071175,3.1498813784924855,15627557.6492
45,2015,2.7616209471971382,2.9749152766487077,3.1904211369507784,16277724.499000002
45,2016,2.7643663594040744,2.9771025664430937,3.1706151496705055,16417949.0363
45,2017,2.7755586132857757,2.994262501446551,3.189695593378057,15802187.2122
45,2018,2.7880350926230277,2.9888597737338807,3.208145176107901,16431389.700800002
45,2019,2.7749311309905687,3.0050451585977758,3.1742428051844738,16432024.716900002
45,2020,2.7647659851051665,3.0195413476847657,3.1633694960663417,15083397.511
45,2021,2.7716739585636185,2.9931197961801246,3.1891562302073826,16813513.4468
45,2022,2.7642809401308206,3.0005654856062107,3.1797367581611065,16786364.944
45,2023,2.805238026349518,2.9988703853405623,3.2078426214538065,17320911.3193
45,2024,2.789442695606098,3.001183762609097,3.1909499486628596,17389912.664800003
45,2025,2.774548871376012,2.9843068756064066,3.200973074114108,16860458.301
45,2026,2.7740516850646784,2.9867688961390675,3.167325156313218,2985911.4918
46,1977,2.7162405889348866,2.908947922925134,3.2565461740003756,1240054.5899999999
46,1978,2.71919092182485,2.8962247162708734,3.2292381515593984,2503641.56
46,1979,2.7204022294926773,2.8938052636963283,3.2172420121812717,2575598.6399999997
46,1980,2.7140066245517867,2.9081377997755715,3.189485848148228,2490504.1999999997
46,1981,2.6990199405473057,2.9058700634793384,3.159605497589534,2539808.3
46,1982,2.6932289033236168,2.893985781499581,3.180654361419844,2300719.2700000005
46,1983,2.7071134223990967,2.9137192245367753,3.1387951416609465,2452038.36
46,1984,2.704039329805684,2.915355480895391,3.1147799299858003,2610547.72
46,1985,2.692122055939351,2.910018326582931,3.1305169040395855,2674322.91
46,1986,2.704158042641921,2.911907215854154,3.1174591202476583,2647255.5999999996
46,1987,2.711181595902031,2.909580348130368,3.118937584893433,2716078.9400000004
46,1988,2.714192098544483,2.9181159085954067,3.1371608133574003,2685575.92
46,1989,2.7283646350052866,2.922130384722331,3.12864697986129,2664249.9899999998
46,1990,2.7514551057213885,2.9307913215588552,3.136524005612533,2569273.07
46,1991,2.7470539588084906,2.9287644029963995,3.12425653152547,2607963.15
46,1992,2.7484562248259263,2.9377607878806873,3.129530382267216,2637550.96
46,1993,2.7540449367663173,2.9179227440712796,3.1506910212177153,2751923.6799999997
46,1994,2.7530047881402,2.929778564838429,3.1254326069577503,2833146.3328
46,1995,2.75706230604403,2.9334672126619386,3.1077327550999594,2814953.07
46,1996,2.7476282897665945,2.9150270014764166,3.133036465082994,2958917.9362999997
