STATEFIP,YEAR,mean_routine,total_emp
12,2009,2.508636878042094,20045747.7553
12,2010,2.5272436928436157,20389815.5064
12,2011,2.4994561340667354,21996510.85
12,2012,2.5062800039205735,23671212.642
12,2013,2.5185840706482012,24382755.4115
12,2014,2.5128396533281845,25750839.5458
12,2015,2.5199894702475394,25411518.0588
12,2016,2.520184766317897,25997863.432499997
12,2017,2.540086886606723,27764360.8304
12,2018,2.526326377111778,29491495.625499997
12,2019,2.525952586271799,30285998.3127
12,2020,2.510546435721823,28695011.891799998
12,2021,2.537027407884003,30507239.362
12,2022,2.53748190391475,31672336.6347
12,2023,2.5275932487644863,32977467.444399998
12,2024,2.5026976448550142,33557360.8402
12,2025,2.516258092938883,30751217.974999998
12,2026,2.5462155427335462,5328012.191400001
13,1976,2.6097280150262976,3480891.72
13,1977,2.6294037110522526,3554976.8200000003
13,1978,2.637112489550231,3366519.5499999993
13,1979,2.6051657773076835,3468454.6499999994
13,1980,2.5816255629820604,3644802.25
13,1981,2.5842519781713214,3686233.3399999994
13,1982,2.601750159458841,3783529.59
13,1983,2.630924276314397,3532755.43
13,1984,2.6537786004855577,3492838.75
13,1985,2.6642517292684644,3892063.71
13,1986,2.6614942159021004,3994507.6400000006
13,1987,2.647057479974693,4148803.1399999997
13,1988,2.6004994282597313,4649635.3
13,1989,2.5905789022710954,4201258.75
13,1990,2.589144608794289,4089403.7499999995
13,1991,2.6045445623460735,3846982.6399999997
13,1992,2.625302968310285,4490987.97
13,1993,2.556102305286129,4215735.35
13,1994,2.581465907522571,4524751.7038
13,1995,2.6011358484792133,4188180.9646
13,1996,2.6201037481316907,4458281.509000001
13,1997,2.602980704357379,4466816.7199
13,1998,2.5749952478841642,4966148.554699999
13,1999,2.601357738571357,5079718.2081
13,2000,2.5595980684719364,5311414.3721
13,2001,2.6201725023106577,5783967.9656
13,2002,2.578024641475845,6450821.8365
13,2003,2.5667936593247647,7054479.1159
13,2004,2.5655346429340695,6580343.750700001
13,2005,2.56752735897183,7146626.0888
13,2006,2.552092855859941,8095946.633699999
13,2007,2.545403119648389,8670432.439599998
13,2008,2.546679026332441,8914559.891900001
13,2009,2.5149124408941814,8828058.637
13,2010,2.5322188368190006,8557594.4972
13,2011,2.542640618179649,8198455.661
13,2012,2.550409710020513,8964666.4767
13,2013,2.583640591560819,9843312.303
13,2014,2.578955420178981,9740664.563900001
13,2015,2.5603976983687673,10366674.3999
13,2016,2.5579641418610066,11039828.9671
13,2017,2.5413697221993865,11652582.927700002
13,2018,2.569738776102342,11814615.0786
13,2019,2.5524737347960658,12133254.587299999
13,2020,2.5315165090213894,12107398.2681
13,2021,2.563522407646873,12128053.045999998
13,2022,2.5525347563009144,13292848.9965
13,2023,2.5279640553790625,13200411.1121
13,2024,2.5383242465913485,13748431.1436
13,2025,2.537124239353961,12860888.5065
13,2026,2.485455433740794,2400662.9681
15,1976,2.705075227376644,376877.7300000001
15,1977,2.6534166007915676,456627.08999999997
15,1978,2.6068469517919777,555145.6599999999
15,1979,2.5902386409498583,664193.57
15,1980,2.555778876005279,744498.6799999999
15,1981,2.5448407668296613,680092.48
15,1982,2.5918682887969666,682175.3300000001
